id,question,answer,description,tag,cues_facial,cues_hands,cues_posture,cues_legs
INT-001,Where were you at 21:00 p.m. hours yesterday?,"I was at my quarters, reading.","Basic tactic: Routine alibi check during a base security breach. Setting: military barracks, neutral tone.",genuine,"Steady eye contact, relaxed jaw","Resting on table, open","Upright, attentive","Still, feet flat"
INT-002,Did you access the secure server?,"No, I don’t have clearance.","Intermediate tactic: Technical questioning in a cyber breach case. Setting: secure facility, moderate pressure.",culprit,"Avoids eye contact, slight frown",Fidgeting with pen,"Slouched, defensive",Tapping rapidly
INT-003,Who gave you the intel?,I don’t know what you’re talking about.,"Advanced tactic: Confrontational approach in espionage case. Setting: black site, high stress.",culprit,"Forced neutral expression, microexpression of fear",Clenched fists,"Rigid, leaning back",Crossed tightly
INT-004,What’s your mission objective?,"I’m just a courier, no mission.","Unconventional tactic: Psychological probing of covert operative. Setting: undisclosed location, intense scrutiny.",culprit,"Controlled, minimal blinking","Steady, hidden in pockets",Overly composed,"Symmetrical, still"
INT-005,Why were you near the checkpoint?,I was visiting family nearby.,"Basic tactic: Rapport-building in a low-threat smuggling case. Setting: border post, casual tone.",genuine,"Smiling, consistent eye contact",Gesturing naturally,"Relaxed, leaning forward","Uncrossed, relaxed"
INT-006,Can you confirm your unit’s movements?,"We were on patrol, standard route.","Basic tactic: Routine debrief after a mission. Setting: command post, neutral tone.",genuine,"Calm, steady gaze",Resting on knees,"Upright, attentive","Still, feet flat"
INT-007,Did you see the target?,"No, I was in a different sector.","Intermediate tactic: Cross-verification in ambush investigation. Setting: field HQ, moderate pressure.",culprit,"Quick glance away, pursed lips",Rubbing hands together,Slouched slightly,Shifting weight
INT-008,Who authorized the operation?,I followed standard protocol.,"Advanced tactic: Probing chain of command in a failed op. Setting: secure briefing room, confrontational.",culprit,"Tense jaw, fleeting smirk",Clasping tightly,"Leaning back, defensive","Crossed, twitching"
INT-009,What’s in the package?,Just personal belongings.,"Unconventional tactic: Feigned casual questioning in smuggling case. Setting: airport security, deceptive calm.",culprit,"Forced smile, rapid blinking",Fidgeting with bag strap,"Stiff, leaning away",Shuffling feet
INT-010,Where did you train?,"Basic training, Fort X, two years ago.","Basic tactic: Background check in recruitment vetting. Setting: recruitment office, low pressure.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, engaged","Relaxed, uncrossed"
